n   T(n)    Tn/log2(n)   A(n)       A(n)/log2(n)
9990   17      1.2795165    8.1311178    0.6119941
9991   16      1.2042377    9.1195955    0.6863850
9992   16      1.2042246    8.7224054    0.6564835
9993   17      1.2794747    8.9219532    0.6714950
9994   16      1.2041985    8.7927961    0.6617670
9995   16      1.2041854    8.9592838    0.6742899
9996   16      1.2041723    8.0653200    0.6070022
9997   16      1.2041593    9.0606117    0.6819012
9998   17      1.2794052    8.9430943    0.6730495
9999   16      1.2041330    8.5762997    0.6454379
10000   16      1.2041200    8.3358660    0.6273364
